gene	Aromaticity	pI	Length	GRAVY	InstabilityIndex	HelixProp	TurnProp	SheetProp
ENSG00000000003	0.1306122448979592	8.435317420959475	245	0.35918367346938773	23.454285714285703	0.2897959183673469	0.22448979591836735	0.4653061224489796
ENSG00000000005	0.11987381703470032	5.119738197326659	317	-0.4501577287066247	46.57731861198736	0.305993690851735	0.24290220820189276	0.3722397476340694
ENSG00000000419	0.09230769230769231	9.570541191101071	260	-0.2923076923076923	29.54807692307693	0.3038461538461539	0.2846153846153846	0.3923076923076923
ENSG00000000457	0.07122093023255814	4.8568010330200195	688	-0.21220930232558144	53.571802325581615	0.3502906976744186	0.2921511627906977	0.3691860465116279
ENSG00000000460	0.08440797186400938	5.637825584411621	853	0.12461899179366936	49.77211019929681	0.37514654161781946	0.20984759671746775	0.4126611957796014
ENSG00000000938	0.10586011342155009	5.408082389831542	529	-0.3584120982986768	42.00189035916825	0.31947069943289225	0.2835538752362949	0.3553875236294896
ENSG00000000971	0.10154346060113728	6.230656242370605	1231	-0.604549147034931	42.418935824533165	0.2404549147034931	0.31844029244516653	0.3200649878147847
ENSG00000001036	0.15203426124197	5.840399742126464	467	-0.2957173447537474	32.810513918629546	0.2955032119914347	0.2890792291220557	0.4132762312633833
ENSG00000001084	0.09105180533751962	5.741329383850098	637	-0.4434850863422292	42.28087912087918	0.3092621664050236	0.2904238618524333	0.3516483516483517
ENSG00000001167	0.020172910662824207	8.890399742126466	347	-0.3726224783861672	42.939193083573464	0.23919308357348704	0.25360230547550433	0.3112391930835735
ENSG00000001460	0.10778443113772455	9.785607719421385	334	-0.651497005988024	55.170988023952106	0.25449101796407186	0.3922155688622755	0.2844311377245509
ENSG00000001461	0.11330049261083744	8.096278190612793	406	0.5684729064039409	40.89785714285714	0.35714285714285715	0.2438423645320197	0.4458128078817734
ENSG00000001497	0.07901907356948229	4.6430864334106445	734	-0.5967302452316077	54.576430517711294	0.3514986376021798	0.29155313351498635	0.3242506811989101
ENSG00000001561	0.09933774834437087	5.70984058380127	453	-0.17991169977924948	43.1026710816777	0.2737306843267108	0.32671081677704195	0.39514348785871967
ENSG00000001617	0.09426751592356687	8.58759174346924	785	-0.4681528662420382	47.80319745222947	0.2700636942675159	0.29426751592356687	0.33121019108280253
ENSG00000001626	0.09999999999999999	8.909611320495607	1480	0.023648648648648626	43.794479729729964	0.32972972972972975	0.24594594594594593	0.4209459459459459
ENSG00000001629	0.06795224977043159	4.982642555236816	1089	-0.624058769513315	58.70752984389375	0.3333333333333333	0.3186409550045914	0.2865013774104683
ENSG00000001630	0.10216110019646366	8.717560005187988	509	-0.13241650294695484	42.84717092337917	0.34577603143418467	0.2612966601178782	0.3889980353634578
ENSG00000001631	0.08423913043478261	8.630011940002444	736	-0.43070652173913043	44.60002717391318	0.34375	0.2595108695652174	0.3641304347826087
ENSG00000002016	0.057416267942583726	8.49043788909912	418	-0.7346889952153111	47.63590909090908	0.30861244019138756	0.31100478468899523	0.27751196172248804
ENSG00000002330	0.07738095238095238	6.5960172653198255	168	-1.1523809523809523	80.60059523809524	0.24404761904761907	0.4226190476190476	0.17857142857142858
ENSG00000002549	0.07129094412331406	8.029746818542481	519	-0.1722543352601156	38.32352601156068	0.36416184971098264	0.2928709055876686	0.33140655105973027
ENSG00000002587	0.11074918566775244	8.912125587463382	307	-0.4576547231270358	51.02289902280131	0.3061889250814332	0.27035830618892503	0.36482084690553745
ENSG00000002726	0.12516644474034622	6.601530647277833	751	-0.388948069241012	47.95997336884171	0.2623169107856192	0.2956058588548602	0.3781624500665779
ENSG00000002745	0.07945205479452054	8.967246055603027	365	-0.3372602739726028	42.73424657534245	0.31780821917808216	0.273972602739726	0.30410958904109586
ENSG00000002746	0.08219178082191782	5.332372856140137	1606	-0.6005603985056039	59.90712328767151	0.29265255292652553	0.32565379825653795	0.30759651307596514
ENSG00000002822	0.029247910863509752	5.723254585266114	718	-0.8740947075208914	57.75306406685253	0.44986072423398327	0.19359331476323122	0.2743732590529248
ENSG00000002834	0.09578544061302682	6.606816673278809	261	-1.0153256704980842	63.37432950191568	0.27969348659003834	0.30268199233716475	0.26436781609195403
ENSG00000002919	0.07407407407407407	6.607782936096191	270	-0.5196296296296297	87.6244444444445	0.2777777777777778	0.3074074074074074	0.31851851851851853
ENSG00000002933	0.10638297872340426	8.826511573791507	235	0.27999999999999997	42.20387234042552	0.37446808510638296	0.22127659574468087	0.42127659574468085
ENSG00000003056	0.09747292418772563	5.566094779968262	277	-0.19061371841155236	38.54953068592058	0.31046931407942235	0.2888086642599278	0.3610108303249097
ENSG00000003137	0.083984375	8.67894344329834	512	-0.07949218750000003	35.094726562499986	0.3359375	0.25390625	0.400390625
ENSG00000003147	0.07453416149068323	5.553590202331542	483	-0.6312629399585922	37.11325051759834	0.40165631469979296	0.2587991718426501	0.30434782608695654
ENSG00000003249	0.03164556962025317	4.256183433532715	158	-0.6246835443037975	67.50886075949369	0.33544303797468356	0.33544303797468356	0.3037974683544304
ENSG00000003393	0.08630054315027158	5.877629280090332	1657	-0.28436934218467114	46.7775678937843	0.3174411587205794	0.2975256487628244	0.363910681955341
ENSG00000003400	0.06896551724137931	6.180126380920409	522	-0.32950191570881227	45.762452107279735	0.3563218390804598	0.2662835249042146	0.3524904214559387
ENSG00000003402	0.075	8.1852445602417	480	-0.35458333333333336	52.723958333333385	0.3625	0.25625	0.3541666666666667
ENSG00000003436	0.11184210526315791	8.613314628601074	304	-0.5993421052631579	45.88657894736842	0.3092105263157895	0.26973684210526316	0.3190789473684211
ENSG00000003509	0.09750566893424036	8.465682029724121	441	-0.1399092970521542	33.52609977324261	0.3129251700680272	0.2766439909297052	0.3786848072562358
ENSG00000003756	0.08588957055214723	5.943050956726075	815	-0.9734969325153374	60.695730061349956	0.3104294478527607	0.3177914110429448	0.2674846625766871
ENSG00000003987	0.09696969696969697	5.937082862854004	660	-0.5380303030303031	50.862575757575904	0.296969696969697	0.29393939393939394	0.3303030303030303
